rows;2000
cols;2000
its;5
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;67.214844;73.302116;78.881836
build/stencil_sequential/sequential_benchmark_one_vector;1;64.734863;66.073079;69.677002
build/stencil_mpi/mpi_benchmark_sendrecv;1;68.197012;72.589429;75.575829
build/stencil_mpi/mpi_benchmark_sendrecv;2;36.488056;38.506754;43.579102
build/stencil_mpi/mpi_benchmark_sendrecv;3;27.652979;30.886825;34.657955
build/stencil_mpi/mpi_benchmark_sendrecv;4;25.599003;34.367657;40.663004
build/stencil_mpi/mpi_benchmark_sendrecv;8;16.901970;22.824804;24.691820
build/stencil_mpi/mpi_benchmark_sendrecv;10;16.299963;29.443796;37.529945
build/stencil_mpi/mpi_benchmark_sendrecv;12;15.936136;36.842950;46.841145
build/stencil_mpi/mpi_benchmark_sendrecv;16;13.574123;21.450416;25.573969
build/stencil_mpi/mpi_benchmark_sendrecv;20;13.351917;20.021582;24.431944
build/stencil_mpi/mpi_benchmark_sendrecv;24;12.924910;21.344368;30.408859
build/stencil_mpi/mpi_benchmark_sendrecv;28;11.968136;15.217074;23.207903
build/stencil_mpi/mpi_benchmark_sendrecv;32;11.264086;31.188687;50.044060
build/stencil_mpi/mpi_benchmark_sendrecv;34;9.094954;19.927939;28.101921
build/stencil_mpi/mpi_benchmark_sendrecv;36;12.167931;41.007733;59.507132
build/stencil_mpi/mpi_benchmark_nonblocking;1;64.251900;68.143884;74.592113
build/stencil_mpi/mpi_benchmark_nonblocking;2;36.044121;38.051399;44.326067
build/stencil_mpi/mpi_benchmark_nonblocking;3;25.837898;33.382821;38.202047
build/stencil_mpi/mpi_benchmark_nonblocking;4;20.406961;35.083755;40.282965
build/stencil_mpi/mpi_benchmark_nonblocking;8;11.877060;34.974440;52.287817
build/stencil_mpi/mpi_benchmark_nonblocking;10;11.537075;30.070337;38.497925
build/stencil_mpi/mpi_benchmark_nonblocking;12;11.157990;29.328068;37.863970
build/stencil_mpi/mpi_benchmark_nonblocking;16;8.347988;22.898817;31.280041
build/stencil_mpi/mpi_benchmark_nonblocking;20;8.195877;21.384843;26.907921
build/stencil_mpi/mpi_benchmark_nonblocking;24;7.524014;17.586327;25.233984
build/stencil_mpi/mpi_benchmark_nonblocking;28;6.934881;13.694461;20.669937
build/stencil_mpi/mpi_benchmark_nonblocking;32;6.689072;29.469792;46.611071
build/stencil_mpi/mpi_benchmark_nonblocking;34;6.451845;16.083924;21.376133
build/stencil_mpi/mpi_benchmark_nonblocking;36;6.500959;32.599711;48.964977
build/stencil_mpi/mpi_benchmark_onesided_fence;1;68.298101;76.445580;82.116842
build/stencil_mpi/mpi_benchmark_onesided_fence;2;44.187069;90.295132;102.492809
build/stencil_mpi/mpi_benchmark_onesided_fence;3;35.012960;73.753643;91.001987
build/stencil_mpi/mpi_benchmark_onesided_fence;4;27.387857;138.437382;197.484970
build/stencil_mpi/mpi_benchmark_onesided_fence;8;20.304918;64.709393;82.362175
build/stencil_mpi/mpi_benchmark_onesided_fence;10;17.950058;50.608404;61.314821
build/stencil_mpi/mpi_benchmark_onesided_fence;12;17.245770;47.678002;57.403088
build/stencil_mpi/mpi_benchmark_onesided_fence;16;15.777111;53.296359;71.089029
build/stencil_mpi/mpi_benchmark_onesided_fence;20;12.749910;35.198538;39.921999
build/stencil_mpi/mpi_benchmark_onesided_fence;24;11.831999;26.803875;30.100107
build/stencil_mpi/mpi_benchmark_onesided_fence;28;11.947155;24.380175;29.217958
build/stencil_mpi/mpi_benchmark_onesided_fence;32;10.667086;16.451820;21.295071
build/stencil_mpi/mpi_benchmark_onesided_fence;34;10.152817;15.116596;20.928144
build/stencil_mpi/mpi_benchmark_onesided_fence;36;12.761116;19.330939;24.041176
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;64.579010;75.877643;84.040880
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;43.102980;94.663684;107.814789
build/stencil_mpi/mpi_benchmark_onesided_pscw;3;33.710003;76.142319;97.398996
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;25.651217;138.348206;197.385073
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;17.473936;68.662651;90.843916
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;15.594006;42.785438;49.139023
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;14.997005;46.672702;56.724072
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;13.974905;48.193200;60.629129
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;10.020971;34.577926;40.833950
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;9.824991;24.558457;27.796984
build/stencil_mpi/mpi_benchmark_onesided_pscw;28;8.780003;20.463832;23.124933
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;10.593176;17.191275;19.530058
build/stencil_mpi/mpi_benchmark_onesided_pscw;34;6.596088;11.683273;17.673969
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;9.340048;25.753641;29.268026

rows;2000
cols;2000
its;10
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;137.589111;149.528890;157.676025
build/stencil_sequential/sequential_benchmark_one_vector;1;134.361816;135.408114;138.604004
build/stencil_mpi/mpi_benchmark_sendrecv;1;135.789871;149.108831;159.541130
build/stencil_mpi/mpi_benchmark_sendrecv;2;74.187040;76.740336;84.532976
build/stencil_mpi/mpi_benchmark_sendrecv;3;56.907177;70.237772;83.166838
build/stencil_mpi/mpi_benchmark_sendrecv;4;56.576967;93.858361;128.695011
build/stencil_mpi/mpi_benchmark_sendrecv;8;31.919003;38.220437;43.594122
build/stencil_mpi/mpi_benchmark_sendrecv;10;35.514116;53.520425;61.035872
build/stencil_mpi/mpi_benchmark_sendrecv;12;29.270887;54.224674;70.510149
build/stencil_mpi/mpi_benchmark_sendrecv;16;31.304121;56.049037;77.689886
build/stencil_mpi/mpi_benchmark_sendrecv;20;29.197931;45.750459;70.896864
build/stencil_mpi/mpi_benchmark_sendrecv;24;26.450872;46.209065;74.597120
build/stencil_mpi/mpi_benchmark_sendrecv;28;26.412964;41.321603;63.962936
build/stencil_mpi/mpi_benchmark_sendrecv;32;24.834871;90.534576;139.185905
build/stencil_mpi/mpi_benchmark_sendrecv;34;20.469189;53.588947;76.366186
build/stencil_mpi/mpi_benchmark_sendrecv;36;26.067019;107.462796;165.436983
build/stencil_mpi/mpi_benchmark_nonblocking;1;137.638092;149.706634;158.746004
build/stencil_mpi/mpi_benchmark_nonblocking;2;71.180820;73.973759;78.458071
build/stencil_mpi/mpi_benchmark_nonblocking;3;55.425167;70.758438;82.072020
build/stencil_mpi/mpi_benchmark_nonblocking;4;43.911934;89.572279;106.213093
build/stencil_mpi/mpi_benchmark_nonblocking;8;26.239157;135.082444;204.340935
build/stencil_mpi/mpi_benchmark_nonblocking;10;21.999121;74.400703;91.193914
build/stencil_mpi/mpi_benchmark_nonblocking;12;21.834850;45.902769;67.080021
build/stencil_mpi/mpi_benchmark_nonblocking;16;17.843008;84.765768;113.708019
build/stencil_mpi/mpi_benchmark_nonblocking;20;14.981985;41.393391;66.199780
build/stencil_mpi/mpi_benchmark_nonblocking;24;13.991833;40.806230;71.219921
build/stencil_mpi/mpi_benchmark_nonblocking;28;13.648987;25.783118;48.654079
build/stencil_mpi/mpi_benchmark_nonblocking;32;13.185024;87.540213;133.944988
build/stencil_mpi/mpi_benchmark_nonblocking;34;12.241125;47.854217;70.410967
build/stencil_mpi/mpi_benchmark_nonblocking;36;12.212992;98.857085;142.884016
build/stencil_mpi/mpi_benchmark_onesided_fence;1;138.091087;161.665662;180.077076
build/stencil_mpi/mpi_benchmark_onesided_fence;2;82.903147;195.112300;211.954832
build/stencil_mpi/mpi_benchmark_onesided_fence;3;62.138081;166.250889;191.420078
build/stencil_mpi/mpi_benchmark_onesided_fence;4;45.722961;331.222582;406.075954
build/stencil_mpi/mpi_benchmark_onesided_fence;8;32.552004;123.271378;141.726971
build/stencil_mpi/mpi_benchmark_onesided_fence;10;32.660007;100.922712;119.493961
build/stencil_mpi/mpi_benchmark_onesided_fence;12;32.107830;97.221271;114.495039
build/stencil_mpi/mpi_benchmark_onesided_fence;16;26.164055;135.548155;165.704012
build/stencil_mpi/mpi_benchmark_onesided_fence;20;23.751020;60.697977;70.523977
build/stencil_mpi/mpi_benchmark_onesided_fence;24;20.849943;32.637874;55.482149
build/stencil_mpi/mpi_benchmark_onesided_fence;28;23.098946;62.661163;73.217869
build/stencil_mpi/mpi_benchmark_onesided_fence;32;20.992041;25.401545;42.881966
build/stencil_mpi/mpi_benchmark_onesided_fence;34;21.335125;26.547281;43.555021
build/stencil_mpi/mpi_benchmark_onesided_fence;36;20.962954;37.033486;53.162813
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;140.480042;167.716448;186.858892
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;85.203886;201.425020;223.474979
build/stencil_mpi/mpi_benchmark_onesided_pscw;3;62.430143;112.819393;134.290934
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;47.784805;343.783641;450.601101
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;29.639959;126.460695;145.802975
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;28.853178;102.691158;121.831894
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;25.382996;82.770491;92.885971
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;21.371841;102.252030;121.551037
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;19.325972;70.900623;83.092928
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;17.236948;47.062500;59.947014
build/stencil_mpi/mpi_benchmark_onesided_pscw;28;15.929937;40.512514;49.979925
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;14.018059;24.708517;38.725138
build/stencil_mpi/mpi_benchmark_onesided_pscw;34;14.115095;18.566171;36.034107
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;15.695810;47.814647;56.412935

rows;4000
cols;4000
its;5
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;320.276855;322.378182;323.083008
build/stencil_sequential/sequential_benchmark_one_vector;1;333.902100;340.442415;350.507812
build/stencil_mpi/mpi_benchmark_sendrecv;1;353.441954;356.094567;363.569021
build/stencil_mpi/mpi_benchmark_sendrecv;2;153.303146;154.127336;158.820152
build/stencil_mpi/mpi_benchmark_sendrecv;4;75.179100;80.440553;90.051174
build/stencil_mpi/mpi_benchmark_sendrecv;8;44.518948;50.909551;56.010008
build/stencil_mpi/mpi_benchmark_sendrecv;10;39.155006;53.912155;65.402985
build/stencil_mpi/mpi_benchmark_sendrecv;12;34.334898;51.749730;61.955929
build/stencil_mpi/mpi_benchmark_sendrecv;16;27.654886;39.093757;44.371128
build/stencil_mpi/mpi_benchmark_sendrecv;20;24.384975;47.274017;53.865194
build/stencil_mpi/mpi_benchmark_sendrecv;24;21.375895;39.807677;51.056147
build/stencil_mpi/mpi_benchmark_sendrecv;28;18.719196;32.851680;43.074131
build/stencil_mpi/mpi_benchmark_sendrecv;32;17.750025;40.502199;62.201977
build/stencil_mpi/mpi_benchmark_sendrecv;34;16.422033;33.087977;49.431086
build/stencil_mpi/mpi_benchmark_sendrecv;36;16.983032;42.573476;62.375784
build/stencil_mpi/mpi_benchmark_nonblocking;1;352.488995;354.860115;361.124992
build/stencil_mpi/mpi_benchmark_nonblocking;2;151.731014;152.928901;156.729937
build/stencil_mpi/mpi_benchmark_nonblocking;4;72.388887;89.858039;101.197004
build/stencil_mpi/mpi_benchmark_nonblocking;8;38.720131;56.576951;71.947098
build/stencil_mpi/mpi_benchmark_nonblocking;10;33.301830;60.414052;82.431078
build/stencil_mpi/mpi_benchmark_nonblocking;12;28.657913;48.269963;58.682919
build/stencil_mpi/mpi_benchmark_nonblocking;16;21.595001;37.868857;44.651031
build/stencil_mpi/mpi_benchmark_nonblocking;20;18.842936;46.865376;59.424162
build/stencil_mpi/mpi_benchmark_nonblocking;24;16.415119;45.160357;56.663036
build/stencil_mpi/mpi_benchmark_nonblocking;28;14.145136;40.788690;51.136017
build/stencil_mpi/mpi_benchmark_nonblocking;32;13.744831;50.526826;85.414171
build/stencil_mpi/mpi_benchmark_nonblocking;34;12.208939;32.733790;49.208879
build/stencil_mpi/mpi_benchmark_nonblocking;36;12.528181;57.431714;83.924055
build/stencil_mpi/mpi_benchmark_onesided_fence;1;347.701073;355.213976;360.687017
build/stencil_mpi/mpi_benchmark_onesided_fence;2;152.070999;152.818203;158.359051
build/stencil_mpi/mpi_benchmark_onesided_fence;4;86.431980;319.355059;452.279091
build/stencil_mpi/mpi_benchmark_onesided_fence;8;53.422928;163.900463;221.117020
build/stencil_mpi/mpi_benchmark_onesided_fence;10;42.903900;126.749198;166.029930
build/stencil_mpi/mpi_benchmark_onesided_fence;12;37.482977;128.537806;171.401978
build/stencil_mpi/mpi_benchmark_onesided_fence;16;31.198978;131.945300;185.974121
build/stencil_mpi/mpi_benchmark_onesided_fence;20;25.779963;96.456448;124.593019
build/stencil_mpi/mpi_benchmark_onesided_fence;24;24.610043;73.192199;86.241007
build/stencil_mpi/mpi_benchmark_onesided_fence;28;22.363186;72.259410;95.292091
build/stencil_mpi/mpi_benchmark_onesided_fence;32;23.828030;48.584421;53.605080
build/stencil_mpi/mpi_benchmark_onesided_fence;34;23.861170;34.099746;42.420149
build/stencil_mpi/mpi_benchmark_onesided_fence;36;22.992849;67.827908;84.964037
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;352.404118;354.364991;355.766058
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;154.114008;155.786220;159.240007
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;85.150003;311.917090;432.909012
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;49.795866;163.286352;221.214056
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;41.213989;127.480578;167.592049
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;36.469936;126.156028;167.342186
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;30.226946;124.399781;172.595978
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;23.917913;97.361644;131.478071
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;22.191048;76.940115;100.012064
build/stencil_mpi/mpi_benchmark_onesided_pscw;28;18.822193;63.817763;78.417063
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;19.026995;54.106617;65.999985
build/stencil_mpi/mpi_benchmark_onesided_pscw;34;20.725965;35.785278;38.360119
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;18.285990;66.478952;82.919121

rows;4000
cols;4000
its;10
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;613.509033;637.443644;645.423096
build/stencil_sequential/sequential_benchmark_one_vector;1;688.687988;691.976807;694.654053
build/stencil_mpi/mpi_benchmark_sendrecv;1;698.987961;706.562153;713.664770
build/stencil_mpi/mpi_benchmark_sendrecv;2;282.294989;288.471119;298.824072
build/stencil_mpi/mpi_benchmark_sendrecv;4;162.930012;187.611429;204.863071
build/stencil_mpi/mpi_benchmark_sendrecv;8;86.549997;98.060838;105.514050
build/stencil_mpi/mpi_benchmark_sendrecv;10;80.450058;105.899326;119.039059
build/stencil_mpi/mpi_benchmark_sendrecv;12;72.276115;138.704006;163.972139
build/stencil_mpi/mpi_benchmark_sendrecv;16;58.527946;74.208363;86.338997
build/stencil_mpi/mpi_benchmark_sendrecv;20;51.877975;92.596110;119.567156
build/stencil_mpi/mpi_benchmark_sendrecv;24;47.701836;103.637067;143.748045
build/stencil_mpi/mpi_benchmark_sendrecv;28;41.906834;65.573827;97.313881
build/stencil_mpi/mpi_benchmark_sendrecv;32;39.808035;118.485800;186.393023
build/stencil_mpi/mpi_benchmark_sendrecv;34;38.188934;93.188341;139.643192
build/stencil_mpi/mpi_benchmark_sendrecv;36;38.515806;142.317446;232.290030
build/stencil_mpi/mpi_benchmark_nonblocking;1;675.081968;685.610469;702.050924
build/stencil_mpi/mpi_benchmark_nonblocking;2;287.208080;288.896879;296.313047
build/stencil_mpi/mpi_benchmark_nonblocking;4;151.588202;194.115472;212.282896
build/stencil_mpi/mpi_benchmark_nonblocking;8;81.054926;117.685215;131.370068
build/stencil_mpi/mpi_benchmark_nonblocking;10;69.850922;150.436052;195.448160
build/stencil_mpi/mpi_benchmark_nonblocking;12;59.751987;104.570603;121.263981
build/stencil_mpi/mpi_benchmark_nonblocking;16;46.343088;94.098894;122.725964
build/stencil_mpi/mpi_benchmark_nonblocking;20;39.454937;111.799733;142.246008
build/stencil_mpi/mpi_benchmark_nonblocking;24;35.690069;99.892990;145.100117
build/stencil_mpi/mpi_benchmark_nonblocking;28;29.494047;94.611907;133.345127
build/stencil_mpi/mpi_benchmark_nonblocking;32;29.563904;159.037129;256.546021
build/stencil_mpi/mpi_benchmark_nonblocking;34;27.831078;91.840633;137.694120
build/stencil_mpi/mpi_benchmark_nonblocking;36;27.141094;150.392087;210.731983
build/stencil_mpi/mpi_benchmark_onesided_fence;1;678.385019;696.272039;708.383083
build/stencil_mpi/mpi_benchmark_onesided_fence;2;293.473005;294.607941;303.108931
build/stencil_mpi/mpi_benchmark_onesided_fence;4;158.222914;819.476549;1129.920959
build/stencil_mpi/mpi_benchmark_onesided_fence;8;95.121861;364.792609;448.693037
build/stencil_mpi/mpi_benchmark_onesided_fence;10;78.323841;265.916896;306.420088
build/stencil_mpi/mpi_benchmark_onesided_fence;12;69.442987;298.295013;365.926027
build/stencil_mpi/mpi_benchmark_onesided_fence;16;56.933880;316.992338;426.155090
build/stencil_mpi/mpi_benchmark_onesided_fence;20;46.395779;225.432841;269.520044
build/stencil_mpi/mpi_benchmark_onesided_fence;24;43.938875;171.727395;198.332071
build/stencil_mpi/mpi_benchmark_onesided_fence;28;39.910078;127.440166;143.821001
build/stencil_mpi/mpi_benchmark_onesided_fence;32;40.715933;94.665575;108.093023
build/stencil_mpi/mpi_benchmark_onesided_fence;34;31.738043;51.152229;84.952831
build/stencil_mpi/mpi_benchmark_onesided_fence;36;39.091110;176.195415;204.677105
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;693.364143;693.878285;695.876837
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;295.609951;296.748273;304.691076
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;154.874086;823.572715;1135.319948
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;89.512110;400.139689;511.570930
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;75.087786;300.466665;367.723942
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;64.903021;298.729316;368.672848
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;52.856922;281.095155;344.342947
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;42.000055;197.073078;230.167150
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;37.354946;153.934741;178.529024
build/stencil_mpi/mpi_benchmark_onesided_pscw;28;33.014059;113.654812;127.186060
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;32.980919;103.757119;120.300055
build/stencil_mpi/mpi_benchmark_onesided_pscw;34;25.400877;54.857492;78.412056
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;30.307055;129.160484;150.089979

rows;10000
cols;10000
its;5
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;1789.813965;1807.385002;1943.892090
build/stencil_sequential/sequential_benchmark_one_vector;1;2072.722168;2114.360547;2178.404053
build/stencil_mpi/mpi_benchmark_sendrecv;1;2165.529013;2211.946217;2243.944883
